user_id,search_keyword,search_result_count,created_at
283880,My Shining Star 3,20,2021-03-11 00:00:00 UTC
7941142,penyiar radio,64,2021-03-11 00:00:00 UTC
10871741,invested,2,2021-03-11 00:00:00 UTC
848337,etnografi,3,2021-03-11 00:00:00 UTC
848337,pedoman survei kuesioner,20,2021-03-11 00:00:00 UTC
14320541,MOTIVASI,60,2021-03-11 00:00:00 UTC
812104,kuru tato dari auschwitz,20,2021-03-11 00:00:00 UTC
10562874,Kanojo,12,2021-03-11 00:00:00 UTC
14552533,administrasi,2,2021-03-11 00:00:00 UTC
7506568,perkembangan skill di pesantren,160,2021-03-11 00:00:00 UTC
860995,komi sulit berkomunikasi vol 3,20,2021-03-11 00:00:00 UTC
14493189,TEAM WORK : HAL-HAL TENTANG KERJA TIM,60,2021-03-11 00:00:00 UTC
8303633,keluarga,40,2021-03-11 00:00:00 UTC
9176725,roy v hughson,100,2021-03-11 00:00:00 UTC
14552545,sedang diskon,40,2021-03-11 00:00:00 UTC
7858931,buku antimalas,40,2021-03-11 00:00:00 UTC
814723,sejarah dunia kuno,57,2021-03-11 00:00:00 UTC
14552477,one piece,20,2021-03-11 00:00:00 UTC
8206595,Bukan buku nikah,61,2021-03-11 00:00:00 UTC
8322391,prenatal yessi,8,2021-03-11 00:00:00 UTC
7702592,dr budi ilham maliki,120,2021-03-11 00:00:00 UTC
7702592,TASAWUF STUDIES: PENGANTAR BELAJAR TASAWUF,20,2021-03-11 00:00:00 UTC
10809536,Red queen,48,2021-03-11 00:00:00 UTC
848337,teknologi,140,2021-03-11 00:00:00 UTC
10971619,biologi molekular sel,20,2021-03-11 00:00:00 UTC
14552462,muslimah bercahaya,80,2021-03-11 00:00:00 UTC
7941190,RESILIENSI PSIKOLOGIS SEBUAH PENGANTAR,100,2021-03-11 00:00:00 UTC
814723,SEJARAH DUNIA ABAD PERTENGAHAN - DARI PERTOBATAN KONSTANTINU,80,2021-03-11 00:00:00 UTC
10425000,TOERI KOMUNIKASI,180,2021-03-11 00:00:00 UTC
9174535,andi hamzah,32,2021-03-11 00:00:00 UTC
14552439,Buku smp,60,2021-03-11 00:00:00 UTC
7580351,ruler of the land,38,2021-03-11 00:00:00 UTC
458328,moriarty the patriot,100,2021-03-11 00:00:00 UTC
10885526,peraturan pemerintah 2001,20,2021-03-11 00:00:00 UTC
14550539,reproduksi untuk anak,40,2021-03-11 00:00:00 UTC
8450754,max numbering 1203,40,2021-03-11 00:00:00 UTC
8222475,When Nights Fall,20,2021-03-11 00:00:00 UTC
8208651,Bintang,40,2021-03-11 00:00:00 UTC
8466489,Ichimoku,5,2021-03-11 00:00:00 UTC
8460651,kearsipan,77,2021-03-11 00:00:00 UTC
812104,harry pooter dan tawanan azkaban,20,2021-03-11 00:00:00 UTC
7506568,metode peneliatian kuantitaif,60,2021-03-11 00:00:00 UTC
14109161,book,120,2021-03-11 00:00:00 UTC
8739604,Ikhlas paling serius,20,2021-03-11 00:00:00 UTC
7898867,mindset,20,2021-03-11 00:00:00 UTC
283880,World is still beautiful,100,2021-03-11 00:00:00 UTC
246749,dari satu toko buku,20,2021-03-11 00:00:00 UTC
14552516,hidup sederhana,60,2021-03-11 00:00:00 UTC
8134806,DINOSAURUS,40,2021-03-11 00:00:00 UTC
7580351,syuhada syuhada di sekitar rasulullah,60,2021-03-11 00:00:00 UTC
39497,monster apartment,60,2021-03-11 00:00:00 UTC
7580351,bedah kisi-kisi eks korea,60,2021-03-11 00:00:00 UTC
418780,gita savitri,10,2021-03-11 00:00:00 UTC
14552510,kristin hannah,3,2021-03-11 00:00:00 UTC
503378,the secret henry manampiring,40,2021-03-11 00:00:00 UTC
14552609,bumi,140,2021-03-11 00:00:00 UTC
14552355,Black clover 16,36,2021-03-11 00:00:00 UTC
848337,bupena,16,2021-03-11 00:00:00 UTC
812104,doy detektif,40,2021-03-11 00:00:00 UTC
14552364,woman in waiting,180,2021-03-11 00:00:00 UTC
7943483,struktur data,40,2021-03-11 00:00:00 UTC
8741613,Petunjuk Praktis Penyusunan Peta Proses Bisnis Instansi Pemerintah (K/L/Pemda),20,2021-03-11 00:00:00 UTC
8460651,ikhlas palingb,42,2021-03-11 00:00:00 UTC
7580351,sosiologi,160,2021-03-11 00:00:00 UTC
86992,37,20,2021-03-11 00:00:00 UTC
13980445,OSN ipa,80,2021-03-11 00:00:00 UTC
14552337,Hanako,42,2021-03-11 00:00:00 UTC
13393511,tan malaka,76,2021-03-11 00:00:00 UTC
7580351,ikigai,44,2021-03-11 00:00:00 UTC
9176725,mikrobiologi%umum,1,2021-03-11 00:00:00 UTC
8739604,chicken soup for the soul,60,2021-03-11 00:00:00 UTC
1416843,GMAT,3,2021-03-11 00:00:00 UTC
7580351,intermediate accounting,120,2021-03-11 00:00:00 UTC
7310966,agen polisi,60,2021-03-11 00:00:00 UTC
8439673,peradaban,20,2021-03-11 00:00:00 UTC
9221776,Talk more,20,2021-03-11 00:00:00 UTC
14552690,manga,2,2021-03-11 00:00:00 UTC
8229244,one piece 16,40,2021-03-11 00:00:00 UTC
14493189,penelitian kuantitatif korelasi,40,2021-03-11 00:00:00 UTC
14320541,BISNIS PAKAIAN,40,2021-03-11 00:00:00 UTC
6008741,ANTOLOGI CERITA ANAK MUSLIM,60,2021-03-11 00:00:00 UTC
9119342,SHALAWATIN AJA,20,2021-03-11 00:00:00 UTC
8403107,Miiko,20,2021-03-11 00:00:00 UTC
283880,Tokyo ghoul : Re 12,240,2021-03-11 00:00:00 UTC
524339,super master ksn,60,2021-03-11 00:00:00 UTC
1325518,kimia organik edisi ketiga,60,2021-03-11 00:00:00 UTC
14550811,illustration,3,2021-03-11 00:00:00 UTC
14320541,SIHIR,100,2021-03-11 00:00:00 UTC
7702592,pendidikan moral dan budi pekerti,160,2021-03-11 00:00:00 UTC
8090844,the giver,40,2021-03-11 00:00:00 UTC
14493189,superbook,60,2021-03-11 00:00:00 UTC
6050139,book,20,2021-03-11 00:00:00 UTC
1070556,book,20,2021-03-11 00:00:00 UTC
11004929,management information system,80,2021-03-11 00:00:00 UTC
283880,Living room with,100,2021-03-11 00:00:00 UTC
9162802,Kaguya,132,2021-03-11 00:00:00 UTC
8303633,hemat pangkal kaya,20,2021-03-11 00:00:00 UTC
14552445,jerman dictionary,20,2021-03-11 00:00:00 UTC
14552322,pemrograman mobile,20,2021-03-11 00:00:00 UTC
228801,Disney pixar monster,60,2021-03-11 00:00:00 UTC
9232812,UUD Omnibus,20,2021-03-11 00:00:00 UTC
14552572,how could?,247,2021-03-11 00:00:00 UTC
7580351,infrastruktur,27,2021-03-11 00:00:00 UTC
14493189,tim work hal hal tentang kerja tim yang wajib diketahui,20,2021-03-11 00:00:00 UTC
8134806,CARL MEHLING,12,2021-03-11 00:00:00 UTC
8222475,Kakeru,6,2021-03-11 00:00:00 UTC
14552690,book,20,2021-03-11 00:00:00 UTC
1416843,STEP BY STEP GOOGLE ADSENSE,20,2021-03-11 00:00:00 UTC
10971619,ekonomi tehknik,40,2021-03-11 00:00:00 UTC
10563356,cyber security,20,2021-03-11 00:00:00 UTC
8222475,Nights Fall,14,2021-03-11 00:00:00 UTC
1325518,tentang prosedu,1,2021-03-11 00:00:00 UTC
6370480,bank islam,18,2021-03-11 00:00:00 UTC
1227799,Kajian drama,20,2021-03-11 00:00:00 UTC
584103,I SOLD MY LIFE FOR TEN THOUSAND YEN PER YEAR 02 OF 03,60,2021-03-11 00:00:00 UTC
7943483,practice and progress,20,2021-03-11 00:00:00 UTC
855419,salah piknik,60,2021-03-11 00:00:00 UTC
8176114,one punch,180,2021-03-11 00:00:00 UTC
7506568,moriarty the patriot,40,2021-03-11 00:00:00 UTC
8750474,giant killing 51,3,2021-03-11 00:00:00 UTC
14552597,law of attraction,19,2021-03-11 00:00:00 UTC
8460651,malas,64,2021-03-11 00:00:00 UTC
7941142,sejarah para rata,80,2021-03-11 00:00:00 UTC
283880,Ellie is lovesick,20,2021-03-11 00:00:00 UTC
9176725,SEDARMAYANTI,9,2021-03-11 00:00:00 UTC
8741613,Swamedikasi dan interaksi obat,40,2021-03-11 00:00:00 UTC
10906840,selena,4,2021-03-11 00:00:00 UTC
14552643,Jujutsu kaisen,2,2021-03-11 00:00:00 UTC
14552603,H Sukiyat,60,2021-03-11 00:00:00 UTC
8214719,PSYCHIC DETECTIVE YAKUMO - THE ALTERNATE STORY 13,60,2021-03-11 00:00:00 UTC
10875030,Creative writing,32,2021-03-11 00:00:00 UTC
584422,Administrasi Pidana,160,2021-03-11 00:00:00 UTC
133909,The Death Of Franchise,140,2021-03-11 00:00:00 UTC
283880,House of the sun,220,2021-03-11 00:00:00 UTC
14552550,Tpa,20,2021-03-11 00:00:00 UTC
678959,that beats the market,80,2021-03-11 00:00:00 UTC
12281047,multimedia,68,2021-03-11 00:00:00 UTC
7734915,lancar membaca,51,2021-03-11 00:00:00 UTC
154230,sherlock,40,2021-03-11 00:00:00 UTC
159434,KOMUNIKASI POLITIK,19,2021-03-11 00:00:00 UTC
1416843,negeri senja,60,2021-03-11 00:00:00 UTC
11486779,Pengantar hukum internasional,228,2021-03-11 00:00:00 UTC
7506568,hery se,105,2021-03-11 00:00:00 UTC
8400852,Akuntansi Biaya,16,2021-03-11 00:00:00 UTC
14492905,ikhlas paling serius,80,2021-03-11 00:00:00 UTC
1416843,MANAJEMEN KEUANGAN PEMERINTAH DAERAH,20,2021-03-11 00:00:00 UTC
1236898,The reviwe,40,2021-03-11 00:00:00 UTC
14493189, Metodologi Penelitian Kuantitatif Korelasional,20,2021-03-11 00:00:00 UTC
455105,disayang,40,2021-03-11 00:00:00 UTC
10902241,fiqih islam,84,2021-03-11 00:00:00 UTC
8439673,peradaban ii,20,2021-03-11 00:00:00 UTC
159434,SASTRA DAN SEJARAH INDONESIA,20,2021-03-11 00:00:00 UTC
14552497,atomik habit,112,2021-03-11 00:00:00 UTC
14552541,haruki marukami,2,2021-03-11 00:00:00 UTC
10971619,focus,20,2021-03-11 00:00:00 UTC
7898867, benda benda di sekitar asesmen kompetisi,60,2021-03-11 00:00:00 UTC
8739822,perfect world,36,2021-03-11 00:00:00 UTC
584103,FIRST MOSLEM,20,2021-03-11 00:00:00 UTC
8684055,hypno,12,2021-03-11 00:00:00 UTC
