user_id,search_keyword,search_result_count,created_at
1653680,Crayon,260,2021-03-10 00:00:00 UTC
524339,NARNIA,15,2021-03-10 00:00:00 UTC
394624,teman tapi menikah,20,2021-03-10 00:00:00 UTC
10971619,PUEBI,13,2021-03-10 00:00:00 UTC
10902241,amu terlalu banyak bercanda,120,2021-03-10 00:00:00 UTC
8218525,Tematik 3 tema 7 kelas 3,20,2021-03-10 00:00:00 UTC
3048717,Perahu kertas,240,2021-03-10 00:00:00 UTC
12930590,buku bahasa jepang,140,2021-03-10 00:00:00 UTC
14550415,Komik,80,2021-03-10 00:00:00 UTC
13980445,On writing,136,2021-03-10 00:00:00 UTC
10971619,pengembangan peserta didik,20,2021-03-10 00:00:00 UTC
10425000,blockchain basics,35,2021-03-10 00:00:00 UTC
9201322,regional,8,2021-03-10 00:00:00 UTC
11029540,contagious,33,2021-03-10 00:00:00 UTC
1416843,JOE GOLDBLATT,40,2021-03-10 00:00:00 UTC
9957887,INTELIJEN PROFESI UNIK ORANG2 ANEH,20,2021-03-10 00:00:00 UTC
10714182,how to respect my self,20,2021-03-10 00:00:00 UTC
10971619,psikologi perkembangan,9,2021-03-10 00:00:00 UTC
1845121,Nisekoi,4,2021-03-10 00:00:00 UTC
13511806, Agrina / ED 317 2020,20,2021-03-10 00:00:00 UTC
7716716,perpajakan indonesia,13,2021-03-10 00:00:00 UTC
433487,Fairy Tail 100 Years Quest 03,120,2021-03-10 00:00:00 UTC
7688508,BISNIS WARALABA INDOMARET: 7 LANGKAH CERDAS MENJADI INVESTOR,20,2021-03-10 00:00:00 UTC
7943483,ilmu tanah,152,2021-03-10 00:00:00 UTC
7813474,express,20,2021-03-10 00:00:00 UTC
807513,virtual reality,57,2021-03-10 00:00:00 UTC
1015602,Apa itu,15,2021-03-10 00:00:00 UTC
9957887, ETIKA PRAKTIS INTELIJEN,4,2021-03-10 00:00:00 UTC
848337,bhisma murti,6,2021-03-10 00:00:00 UTC
1416843,SIARAN TELEVISI NON DRAMA,20,2021-03-10 00:00:00 UTC
14550654,Attack on titan 01,18,2021-03-10 00:00:00 UTC
814723,korea,20,2021-03-10 00:00:00 UTC
7898867,Tata Bahasa Baku Bahasa Indonesia tahun 2018,20,2021-03-10 00:00:00 UTC
14550681,traces of love,100,2021-03-10 00:00:00 UTC
8170794,kayanya negeriku,280,2021-03-10 00:00:00 UTC
646818,the lovable lady,20,2021-03-10 00:00:00 UTC
14550527,Doraemon 45,40,2021-03-10 00:00:00 UTC
7898867,osn matematika,40,2021-03-10 00:00:00 UTC
9174535,TIGRIS,4,2021-03-10 00:00:00 UTC
14493369,dunia sophie,20,2021-03-10 00:00:00 UTC
7506568,pengantar hukum administrasi indonesia,40,2021-03-10 00:00:00 UTC
848337,belajar tidak menakutkan,20,2021-03-10 00:00:00 UTC
7760739,freedom is not free,40,2021-03-10 00:00:00 UTC
253754,john maxwell,20,2021-03-10 00:00:00 UTC
543966,One Piece,60,2021-03-10 00:00:00 UTC
7760739,21 hukum kepemimpinan,133,2021-03-10 00:00:00 UTC
12712087,Etika komunikasi haryatmoko,20,2021-03-10 00:00:00 UTC
9229966,al ihsan,20,2021-03-10 00:00:00 UTC
9228200,paulo freire,18,2021-03-10 00:00:00 UTC
7506568,poster,40,2021-03-10 00:00:00 UTC
12930590,peter l berger,60,2021-03-10 00:00:00 UTC
14550539,seratus tahun kesunyian,20,2021-03-10 00:00:00 UTC
12930590,buku alus kasar,220,2021-03-10 00:00:00 UTC
1416843,life span,38,2021-03-10 00:00:00 UTC
9997225,bandung,100,2021-03-10 00:00:00 UTC
14550369,Harry potter,8,2021-03-10 00:00:00 UTC
14240884,the Fist of,160,2021-03-10 00:00:00 UTC
7730507,kami bukan sarjana kertas,140,2021-03-10 00:00:00 UTC
140089,just be mine,19,2021-03-10 00:00:00 UTC
9176725,teaching and learning,40,2021-03-10 00:00:00 UTC
14439406,stiker laptop,180,2021-03-10 00:00:00 UTC
12930590,ao haru ride,240,2021-03-10 00:00:00 UTC
8741613,Persiapan menghadapi AKM,20,2021-03-10 00:00:00 UTC
10971619,doraemon petualangan 4,20,2021-03-10 00:00:00 UTC
911386,Tuan ,60,2021-03-10 00:00:00 UTC
7898867,SANTUNAN TAMU ALLAH,20,2021-03-10 00:00:00 UTC
12930590,muhammad nuruddin,80,2021-03-10 00:00:00 UTC
