user_id,search_keyword,search_result_count,created_at
9174535,manajemen keuangan perusahaan,112,2021-03-13 00:00:00 UTC
10885526,TTS RINGAN PILIHAN KOMPAS JILID 3,20,2021-03-13 00:00:00 UTC
12418585,Grow: How Ideals Power Growth and Profit at the World's Greatest Companies,20,2021-03-13 00:00:00 UTC
14556239,Manajemen sumber daya manusia,140,2021-03-13 00:00:00 UTC
14550539,instant english,160,2021-03-13 00:00:00 UTC
12748036,kindaichi premium,60,2021-03-13 00:00:00 UTC
14493189,lumpuh,1,2021-03-13 00:00:00 UTC
8090786,menguasai ips sistem kebut semalam,40,2021-03-13 00:00:00 UTC
14556180,fiqih wanita,90,2021-03-13 00:00:00 UTC
14556070,55 nasihat bagi wanita sebelum menikah aji nur afifah,120,2021-03-13 00:00:00 UTC
8650931,Penulisan artikel,40,2021-03-13 00:00:00 UTC
9194110,profesional,20,2021-03-13 00:00:00 UTC
6849572,Ginjal,60,2021-03-13 00:00:00 UTC
8218525,"Ekklesiologi, Gereja Yang Kelihatan Dan Tak Kelihatan: Dipanggil dan Dikuduskan Untuk Memberitakan Karya Penyelamatan Kristus",20,2021-03-13 00:00:00 UTC
7907279,the magic,140,2021-03-13 00:00:00 UTC
7506568,ensiklopedia,60,2021-03-13 00:00:00 UTC
12418585,hakikat insan,126,2021-03-13 00:00:00 UTC
10902241,salah piknik,1,2021-03-13 00:00:00 UTC
8176114,budiman anwar,48,2021-03-13 00:00:00 UTC
8650931,Dasar dasar statistika,200,2021-03-13 00:00:00 UTC
14550539,kemahiran akutansi,20,2021-03-13 00:00:00 UTC
9170788,pr ekonomi kelas II semester 2,80,2021-03-13 00:00:00 UTC
9176334,Kevin Duncan,7,2021-03-13 00:00:00 UTC
524339,RAPIJALI,2,2021-03-13 00:00:00 UTC
8134806,public speaking helen ollil,80,2021-03-13 00:00:00 UTC
14493189,pengawasan kepala sekolah,20,2021-03-13 00:00:00 UTC
7898867,filsafat ilmu,120,2021-03-13 00:00:00 UTC
8214719,millenial moslem,19,2021-03-13 00:00:00 UTC
14556174,BUMI,40,2021-03-13 00:00:00 UTC
398956,one piece 94,40,2021-03-13 00:00:00 UTC
7941142,ENDORPHIN: KUMPULAN CERITA DAN RUPA,40,2021-03-13 00:00:00 UTC
848337,tim student center,100,2021-03-13 00:00:00 UTC
8741613, Hermawan Kertajaya,2,2021-03-13 00:00:00 UTC
449523,Data mining,38,2021-03-13 00:00:00 UTC
9202478,"Sherlock, Lupin dan Aku",60,2021-03-13 00:00:00 UTC
8225993,Memoirs of a geisha,60,2021-03-13 00:00:00 UTC
9176725,strategi hindari plagiarisme,20,2021-03-13 00:00:00 UTC
7907279,the magic rhonda,80,2021-03-13 00:00:00 UTC
9176725,dunia dinosaurus,60,2021-03-13 00:00:00 UTC
7898867,#sobat sakit,20,2021-03-13 00:00:00 UTC
903439,the japanese lover,60,2021-03-13 00:00:00 UTC
7943483,ARONSON,20,2021-03-13 00:00:00 UTC
14556199,sebuah seni untuk bersikap bodo amat,60,2021-03-13 00:00:00 UTC
14493105,Jujutsu kaisen,14,2021-03-13 00:00:00 UTC
10902241,Rindu yang baik,20,2021-03-13 00:00:00 UTC
10902241,buko no hiro,171,2021-03-13 00:00:00 UTC
966671,pulang ke rinjani,120,2021-03-13 00:00:00 UTC
1325518,microsoft excel,260,2021-03-13 00:00:00 UTC
6058463,twilight,42,2021-03-13 00:00:00 UTC
7580351,rahasia penulis,36,2021-03-13 00:00:00 UTC
8134806,jenis-jenis bambu,210,2021-03-13 00:00:00 UTC
14550539,go easy speaking,100,2021-03-13 00:00:00 UTC
1325518,hai miiko,40,2021-03-13 00:00:00 UTC
14556184,Mari Membuat Film,120,2021-03-13 00:00:00 UTC
8739604,keyboard,80,2021-03-13 00:00:00 UTC
7734837,ginting,5,2021-03-13 00:00:00 UTC
1820243,EKSPERIMEN SERU 1,20,2021-03-13 00:00:00 UTC
12418585,kumpulan hadist,40,2021-03-13 00:00:00 UTC
14550539,quick n easy homemade snacks,120,2021-03-13 00:00:00 UTC
7691772,monte sori,20,2021-03-13 00:00:00 UTC
14556338,smile akira kasugai,40,2021-03-13 00:00:00 UTC
14550539,Chi Kung for Health and Vitality,20,2021-03-13 00:00:00 UTC
7981007,Tombow Mono Correction tape,40,2021-03-13 00:00:00 UTC
7941312,friends game,40,2021-03-13 00:00:00 UTC
7898867,api tauhid,40,2021-03-13 00:00:00 UTC
8176114,miracle,60,2021-03-13 00:00:00 UTC
848337,ukmppd,12,2021-03-13 00:00:00 UTC
584103,muhammad,20,2021-03-13 00:00:00 UTC
14556271,mabahits fii uluumul qur'an,60,2021-03-13 00:00:00 UTC
8218525,"PENGARUH MODAL USAHA, LAMA USAHA, DAN KEWIRAUSAHAAN ISLAMI TERHADAP PENDAPATAN DAN KESEJAHTERAAN KELUARGA WANITA PENGRAJIN BATIK DANAU TELUK KOTA JAMB",20,2021-03-13 00:00:00 UTC
1570955,Appointment with,40,2021-03-13 00:00:00 UTC
8176114,leader shift,60,2021-03-13 00:00:00 UTC
14554476,book,20,2021-03-13 00:00:00 UTC
7943483,haikyu,40,2021-03-13 00:00:00 UTC
14554532,Jujutsu kaisen,6,2021-03-13 00:00:00 UTC
10902241,RAHASIA RAMBUT RAPUNZEL (SECRETS UNLOCKED),220,2021-03-13 00:00:00 UTC
848337,gugup kismono,2,2021-03-13 00:00:00 UTC
8134806,hafiz,56,2021-03-13 00:00:00 UTC
584103,mengapa pria tidak bisa mendengarkan,20,2021-03-13 00:00:00 UTC
9232812,andrea hirata,7,2021-03-13 00:00:00 UTC
9232812,beton,24,2021-03-13 00:00:00 UTC
12437003,harry potter piala,160,2021-03-13 00:00:00 UTC
8354179,gokushufudo,12,2021-03-13 00:00:00 UTC
7941102,SEKARANG SELAMNYA,100,2021-03-13 00:00:00 UTC
9232812,pengangaran perusahaan,20,2021-03-13 00:00:00 UTC
8460651,metode penelitian sugiyono,120,2021-03-13 00:00:00 UTC
1416843,i see you like a flower,20,2021-03-13 00:00:00 UTC
430238,Abridged,40,2021-03-13 00:00:00 UTC
7734837,sosiologi kelas x,240,2021-03-13 00:00:00 UTC
8176114,telepon genggam,40,2021-03-13 00:00:00 UTC
7506568,sahabat rasulullah,76,2021-03-13 00:00:00 UTC
14556062,Black Clover,100,2021-03-13 00:00:00 UTC
7688508,m nafarin,37,2021-03-13 00:00:00 UTC
14320541,wilson,3,2021-03-13 00:00:00 UTC
9174535,dasar dasar manajemen keuangan suad husnan,40,2021-03-13 00:00:00 UTC
10579056,The magic of thingking,60,2021-03-13 00:00:00 UTC
8439673,Ensiklopedia,140,2021-03-13 00:00:00 UTC
8176114,yasin fadhilah,228,2021-03-13 00:00:00 UTC
8450754,The Ballad of Songbirds and Snakes,20,2021-03-13 00:00:00 UTC
8739604,osn biologi sma,60,2021-03-13 00:00:00 UTC
615959,Resep masakan turki,80,2021-03-13 00:00:00 UTC
848337,prabowo subianto,15,2021-03-13 00:00:00 UTC
9183504,EKONOMI POLITIK PIJAKAN TEORITIS,80,2021-03-13 00:00:00 UTC
7941142,HUKUM BISNIS: PRINSIP,20,2021-03-13 00:00:00 UTC
14556109,100 people who changes the world,20,2021-03-13 00:00:00 UTC
636283,the girl's guide,76,2021-03-13 00:00:00 UTC
1416843,kumpulan cerita rakyat jepang,20,2021-03-13 00:00:00 UTC
14556056,padang,40,2021-03-13 00:00:00 UTC
8324961,"Darmadji, Tjiptono ",40,2021-03-13 00:00:00 UTC
7956300,UMKM Internasional,60,2021-03-13 00:00:00 UTC
7580351,the snowball,114,2021-03-13 00:00:00 UTC
7940957,creative writing,64,2021-03-13 00:00:00 UTC
1167305,Alat transportasi,20,2021-03-13 00:00:00 UTC
14556319,wedding with converse,40,2021-03-13 00:00:00 UTC
7996578,book,20,2021-03-13 00:00:00 UTC
7506568,kuantar ke gernamh,20,2021-03-13 00:00:00 UTC
14556039,william hartanto,20,2021-03-13 00:00:00 UTC
11007055,Novel Dear J,7,2021-03-13 00:00:00 UTC
7716716,perpustakaan dan kepustakawanan indonesia,20,2021-03-13 00:00:00 UTC
807513,agency,2,2021-03-13 00:00:00 UTC
9194110,pengantar manajemen,20,2021-03-13 00:00:00 UTC
408748,FLASH CARD HURUF,60,2021-03-13 00:00:00 UTC
14554476,leteral thingking,1,2021-03-13 00:00:00 UTC
7580351,scale up,100,2021-03-13 00:00:00 UTC
14556316,tere liye,5,2021-03-13 00:00:00 UTC
14556112,Kamu pasti bisa nak,40,2021-03-13 00:00:00 UTC
14493105,Manga,63,2021-03-13 00:00:00 UTC
14556239,Drs.h malayu s.p hasibuan,4,2021-03-13 00:00:00 UTC
9183504,Geografi Regional Indonesia,20,2021-03-13 00:00:00 UTC
814723,HUKUM TATA NEGARA INDONESIA : PEMIKIRAN,80,2021-03-13 00:00:00 UTC
14556198,book,60,2021-03-13 00:00:00 UTC
8354179,one punch man,140,2021-03-13 00:00:00 UTC
9174535,strategi pembelajaran,176,2021-03-13 00:00:00 UTC
728955,Eko yulianto,6,2021-03-13 00:00:00 UTC
